timestamp,macd,macd_signal,macd_histogram
2023-04-02,1169.3432260274567,1201.5472359104879,-32.204009883031176
2023-04-03,1089.9616501579112,1179.2301187599726,-89.26846860206138
2023-04-04,1044.501194417866,1152.2843338915513,-107.78313947368542
2023-04-05,997.3430459671981,1121.2960763066808,-123.95303033948267
2023-04-06,938.1658864008095,1084.6700383255065,-146.504151924697
2023-04-07,870.940523362744,1041.9241353329542,-170.98361197021018
2023-04-08,810.902526414262,995.7198135492158,-184.81728713495386
2023-04-09,785.3657193872205,953.6489947168168,-168.28327532959634
2023-04-10,861.1952213530785,935.1582400440692,-73.96301869099068
2023-04-11,955.7096719376859,939.2685264227925,16.44114551489338
2023-04-12,993.9513677297582,950.2050946841857,43.74627304557248
2023-04-13,1051.3366123790474,970.4313982231581,80.90521415588933
2023-04-14,1091.7415007808668,994.6934187346999,97.04808204616688
2023-04-15,1097.2482196052988,1015.2043789088198,82.04384069647904
2023-04-16,1089.8209683183995,1030.1276967907356,59.69327152766391
2023-04-17,1001.831173511644,1024.4683921349174,-22.637218623273384
2023-04-18,997.2391556600633,1019.0225448399466,-21.78338917988333
2023-04-19,856.0048493015893,986.4190057322752,-130.41415643068592
2023-04-20,691.4462919061843,927.4244629670571,-235.9781710608728
2023-04-21,476.39766383963433,837.2191031415726,-360.8214393019383
2023-04-22,346.67776818817583,739.1108361508933,-392.4330679627175
2023-04-23,223.046194464805,635.8979078136757,-412.8517133488707
2023-04-24,117.28657181014205,532.175640612969,-414.88906880282696
2023-04-25,96.09864441050377,444.960241372476,-348.8615969619722
2023-04-26,87.53717827790751,373.4756287535623,-285.9384504756548
2023-04-27,164.1892811281141,331.6183592284727,-167.4290781003586
2023-04-28,209.5243556560199,307.19955851398214,-97.67520285796223
2023-04-29,236.17406526442574,292.99445986407085,-56.82039459964511
2023-04-30,254.5821959802488,285.3120070873065,-30.729811107057685
2023-05-01,173.17281467805515,262.88416860545624,-89.71135392740109
2023-05-02,155.40793970137383,241.38892282463976,-85.98098312326593
2023-05-03,168.1413517315923,226.73940860603028,-58.59805687443799
2023-05-04,161.20437994066378,213.632402872957,-52.4280229322932
2023-05-05,207.1762182247985,212.3411659433253,-5.164947718526804
2023-05-06,188.39009473544866,207.55095170175,-19.16085696630134
2023-05-07,138.17201969695088,193.67516530079018,-55.5031456038393
2023-05-08,36.52148204916011,162.2444286504642,-125.72294660130407
2023-05-09,-46.767816473176936,120.44197962573597,-167.2097960989129
2023-05-10,-113.84487011348392,73.584609677892,-187.4294797913759
2023-05-11,-215.36752045716275,15.794183650881052,-231.1617041080438
2023-05-12,-306.3029585274853,-48.62524478479222,-257.6777137426931
2023-05-13,-375.6319432432392,-114.02658447648163,-261.6053587667576
2023-05-14,-414.3140601203304,-174.08407960525142,-240.22998051507898
2023-05-15,-420.3931652505853,-223.34589673431822,-197.04726851626708
2023-05-16,-430.5999494380958,-264.79670727507374,-165.80324216302205
2023-05-17,-404.032729648392,-292.6439117497374,-111.38881789865457
2023-05-18,-425.22681409066354,-319.16049221792264,-106.0663218727409
2023-05-19,-432.28101911990234,-341.78459759831856,-90.49642152158378
2023-05-20,-415.1585755488559,-356.4593931884261,-58.6991823604298
2023-05-21,-425.30357189006463,-370.22822892875377,-55.07534296131087
2023-05-22,-420.30909811876336,-380.2444027667557,-40.064695352007675
2023-05-23,-382.06340957294015,-380.6082041279926,-1.4552054449475236
2023-05-24,-418.7898540504575,-388.24453411248567,-30.54531993797184
2023-05-25,-431.242198253065,-396.8440669406016,-34.39813131246342
2023-05-26,-417.56637450008566,-400.9885284524984,-16.577846047587286
2023-05-27,-390.25891857396346,-398.8426064767914,8.583687902827933
2023-05-28,-267.83434292159654,-372.64095376575244,104.8066108441559
2023-05-29,-195.07851478459634,-337.12846596952124,142.0499511849249
2023-05-30,-139.20339570535725,-297.54345191668847,158.34005621133122
2023-05-31,-132.45390473779844,-264.5255424809105,132.07163774311203
2023-06-01,-156.9605553502479,-243.01254505477795,86.05198970453006
2023-06-02,-140.49618696569814,-222.50927343696202,82.01308647126388
2023-06-03,-139.82574236850996,-205.97256722327162,66.14682485476166
2023-06-04,-134.03829156024221,-191.58571209066577,57.54742053042355
2023-06-05,-238.62113447045704,-200.992796566624,-37.62833790383303
2023-06-06,-198.03183892181914,-200.40060503766307,2.3687661158439255
2023-06-07,-235.03051803417839,-207.32658763696617,-27.70393039721222
2023-06-08,-248.63437753207836,-215.58814561598862,-33.04623191608974
2023-06-09,-258.1184910699485,-224.09421470678063,-34.02427636316787
2023-06-10,-313.3904490717541,-241.95346157977536,-71.43698749197875
2023-06-11,-346.39531133446144,-262.8418315307126,-83.55347980374881
2023-06-12,-369.9304562829129,-284.2595564811527,-85.67089980176024
2023-06-13,-381.83576407690634,-303.77479800030346,-78.06096607660288
2023-06-14,-451.080255777877,-333.2358895558182,-117.84436622205885
2023-06-15,-462.70701986521453,-359.13011561769747,-103.57690424751706
2023-06-16,-406.9926382257763,-368.70262013931324,-38.29001808646308
2023-06-17,-344.98367667663115,-363.9588314467768,18.97515477014565
2023-06-18,-306.5909725948077,-352.485259676383,45.89428708157533
2023-06-19,-232.78186287150675,-328.54458031540776,95.76271744390101
2023-06-20,-55.54382120371156,-273.94442849306853,218.40060728935697
2023-06-21,218.43861966083932,-175.46781886228698,393.9064385231263
2023-06-22,421.9151346440558,-55.99122816101841,477.9063628050742
2023-06-23,640.629154820148,83.33284843521487,557.2963063849331
2023-06-24,791.8367870969159,225.03363616755513,566.8031509293608
2023-06-25,896.1136866060988,359.2496462552639,536.8640403508349
2023-06-26,952.0707595935673,477.8138689229246,474.25689067064275
2023-06-27,1018.9212212265556,586.0353393836508,432.88588184290484
2023-06-28,1010.6230789592228,670.9528872987653,339.6701916604575
2023-06-29,1022.1123056277283,741.1847709645579,280.9275346631705
2023-06-30,1021.4354056599987,797.234897903646,224.20050775635264
2023-07-01,1018.3508212902998,841.4580825809769,176.89273870932288
2023-07-02,1006.8122914132946,874.5289243474406,132.283367065854
2023-07-03,1029.3092005818762,905.4849795943277,123.82422098754853
2023-07-04,1015.6121442258409,927.5104125206304,88.10173170521045
